trial0000001, GVWY, 532.0, 10, 53.20, 7.60, 0.00000423, 0.00000052, ZIC, 54.0, 10, 5.40, 0.40, 0.00000833, 0.00000047
trial0000002, GVWY, 590.5, 10, 59.05, 8.20, 0.00000736, 0.00000085, ZIC, 49.5, 10, 4.95, 0.40, 0.00001298, 0.00000082
trial0000003, GVWY, 538.0, 10, 53.80, 6.90, 0.00000385, 0.00000053, ZIC, 34.0, 10, 3.40, 0.50, 0.00000716, 0.00000044
trial0000004, GVWY, 582.5, 10, 58.25, 6.90, 0.00000475, 0.00000060, ZIC, 20.5, 10, 2.05, 0.10, 0.00000855, 0.00000061
trial0000005, GVWY, 620.5, 10, 62.05, 7.90, 0.00000745, 0.00000078, ZIC, 6.5, 10, 0.65, 0.10, 0.00001787, 0.00000080
trial0000006, GVWY, 617.5, 10, 61.75, 7.00, 0.00000996, 0.00000114, ZIC, 35.5, 10, 3.55, 0.20, 0.00002031, 0.00000112
trial0000007, GVWY, 364.25, 10, 36.42, 6.20, 0.00000999, 0.00000121, ZIC, 44.75, 10, 4.47, 0.40, 0.00001833, 0.00000124
trial0000008, GVWY, 602.0, 10, 60.20, 7.00, 0.00000617, 0.00000072, ZIC, 47.0, 10, 4.70, 0.40, 0.00001253, 0.00000071
trial0000009, GVWY, 504.5, 10, 50.45, 6.80, 0.00000853, 0.00000097, ZIC, 12.5, 10, 1.25, 0.20, 0.00001669, 0.00000092
trial0000010, GVWY, 688.0, 10, 68.80, 8.10, 0.00001196, 0.00000135, ZIC, 11.0, 10, 1.10, 0.10, 0.00002068, 0.00000132
